,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,271,311,304,238,248,290,303,302,336,391,429,415,469
Expenses +,236,275,268,199,207,247,258,250,284,333,363,348,389
Operating Profit,35,35,37,39,41,42,45,51,52,58,66,67,80
OPM %,13%,11%,12%,16%,16%,15%,15%,17%,15%,15%,15%,16%,17%
Other Income +,15,1,0,1,16,1,13,3,32,3,26,6,4
Interest,12,11,12,12,10,12,11,14,14,17,19,13,19
Depreciation,11,10,11,11,13,13,13,16,16,17,20,21,22
Profit before tax,27,15,14,17,34,19,33,25,54,28,53,39,42
Tax %,27%,22%,29%,28%,26%,25%,32%,38%,14%,30%,28%,26%,14%
Net Profit +,20,12,10,12,25,14,22,16,46,19,38,29,36
EPS in Rs,6.17,3.65,3.17,3.78,7.75,4.36,6.87,4.90,14.35,6.04,10.72,7.64,9.60
Raw PDF,,,,,,,,,,,,,
