,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,306,306,478,379,395,325,618,509,442,416,665
Expenses +,252,262,391,319,313,267,513,432,373,352,536
Operating Profit,53,45,87,60,82,58,105,77,69,64,129
OPM %,17%,15%,18%,16%,21%,18%,17%,15%,16%,15%,19%
Other Income +,2,3,1,1,1,2,4,3,2,3,5
Interest,4,4,5,5,6,9,10,10,10,12,13
Depreciation,11,10,10,13,12,15,16,15,19,21,22
Profit before tax,41,33,73,42,64,36,82,54,42,35,99
Tax %,31%,22%,27%,17%,27%,23%,26%,25%,26%,28%,26%
Net Profit +,28,26,53,35,47,28,61,41,31,25,73
EPS in Rs,,,,0.62,0.85,0.50,1.10,0.74,0.55,0.45,1.32
Raw PDF,,,,,,,,,,,
