Ticker,Company Type,Error,QOQ Revenue Growth (%),QOQ Revenue Ascending,YOY Revenue Growth (%),YOY Revenue Ascending,QOQ Profit before tax Growth (%),QOQ Profit before tax Ascending,YOY Profit before tax Growth (%),YOY Profit before tax Ascending,QOQ Net Profit Growth (%),QOQ Net Profit Ascending,YOY Net Profit Growth (%),YOY Net Profit Ascending,QOQ EPS in Rs Growth (%),QOQ EPS in Rs Ascending,YOY EPS in Rs Growth (%),YOY EPS in Rs Ascending
HAPPYFORGE,Non-Finance,None,1.12,FAIL,8.6,PASS,1.98,FAIL,13.41,PASS,2.37,FAIL,13.07,PASS,2.38,FAIL,10.32,PASS
AJANTPHARM,Non-Finance,None,0.77,FAIL,11.44,PASS,-5.48,FAIL,28.13,PASS,-2.59,FAIL,25.76,PASS,-2.55,FAIL,27.24,PASS
AHLUCONT,Non-Finance,None,-5.62,FAIL,20.39,PASS,-9.69,FAIL,38.84,FAIL,-10.99,FAIL,39.05,FAIL,-10.14,FAIL,39.05,FAIL
CARTRADE,Non-Finance,None,6.7,FAIL,32.72,PASS,32.47,PASS,162.84,FAIL,27.72,PASS,287.5,FAIL,25.22,FAIL,386.25,FAIL
JBMA,Non-Finance,None,12.96,PASS,19.56,PASS,26.68,PASS,27.84,PASS,30.04,PASS,33.01,PASS,26.98,PASS,28.34,PASS
SIGNATURE,Non-Finance,None,20.04,FAIL,40.57,FAIL,-148.17,FAIL,1208.99,PASS,230.83,FAIL,203.12,PASS,228.12,FAIL,201.38,PASS
SHILPAMED,Non-Finance,None,3.49,FAIL,9.19,PASS,14.89,PASS,-46.05,PASS,21.56,FAIL,-14.11,PASS,18.58,FAIL,-21.69,PASS
GVT&D,N/A,Quarterly CSV file not found for GVT&D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IOC,Non-Finance,None,0.6,FAIL,-5.06,FAIL,-139.54,FAIL,105.37,FAIL,-133.49,FAIL,100.36,FAIL,-390.49,FAIL,129.5,FAIL
HCC,Non-Finance,None,-4.84,FAIL,-17.65,FAIL,243.97,FAIL,-450.15,FAIL,-1263.9,FAIL,-941.75,FAIL,-1464.45,FAIL,-927.36,FAIL
WELCORP,Non-Finance,None,-4.99,FAIL,30.7,FAIL,38.7,FAIL,173.59,PASS,45.99,FAIL,251.01,PASS,47.71,FAIL,235.01,PASS
JCHAC,Non-Finance,None,21.61,FAIL,12.06,FAIL,-756.45,FAIL,-94.27,PASS,-746.67,FAIL,-92.47,PASS,-682.81,FAIL,-92.79,PASS
NMDC,Non-Finance,None,2.6,FAIL,15.19,PASS,10.85,FAIL,9.62,PASS,18.95,FAIL,7.74,FAIL,18.6,FAIL,7.89,FAIL
IONEXCHANG,Non-Finance,None,-2.23,FAIL,16.15,PASS,-7.37,FAIL,6.95,PASS,-8.71,FAIL,5.64,PASS,-9.9,FAIL,5.24,FAIL
NBCC,Non-Finance,None,-5.69,FAIL,13.66,PASS,2.03,FAIL,38.1,PASS,2.1,FAIL,36.78,PASS,2.24,FAIL,37.33,PASS
IWEL,Non-Finance,None,20.05,PASS,100.14,PASS,80.53,PASS,-524.5,PASS,52.72,PASS,-251.8,PASS,51.53,FAIL,-161.01,PASS
JUBLPHARMA,Non-Finance,None,3.67,PASS,7.31,PASS,-7.49,FAIL,492.1,PASS,-10.1,FAIL,416.45,PASS,-9.42,FAIL,381.13,PASS
TTKPRESTIG,Non-Finance,None,6.29,FAIL,-1.6,FAIL,2.58,FAIL,-10.44,FAIL,2.79,FAIL,-9.31,FAIL,2.78,FAIL,-8.71,FAIL
ETHOSLTD,Non-Finance,None,5.81,FAIL,25.97,PASS,2.7,FAIL,27.08,PASS,2.9,FAIL,27.0,PASS,3.05,FAIL,23.66,PASS
SBIN,Finance,None,2.41,PASS,18.48,PASS,0.74,FAIL,18.79,PASS,0.56,FAIL,18.1,PASS,0.55,FAIL,18.09,PASS
SHYAMMETL,Non-Finance,None,4.72,PASS,9.48,PASS,-6.59,FAIL,11.33,FAIL,-6.47,FAIL,5.2,FAIL,-6.68,FAIL,-0.68,FAIL
AZAD,Non-Finance,None,9.09,PASS,34.67,PASS,14.74,PASS,288.08,PASS,13.99,PASS,342.48,PASS,11.01,FAIL,-22.12,FAIL
GUJALKALI,Non-Finance,None,3.25,PASS,-4.36,FAIL,-79.34,PASS,-109.75,FAIL,-91.98,PASS,-115.19,FAIL,-91.94,PASS,-115.16,FAIL
MAPMYINDIA,Non-Finance,None,12.92,PASS,28.52,PASS,20.91,FAIL,21.81,PASS,14.38,FAIL,17.26,PASS,13.64,FAIL,16.56,PASS
