Ticker,Company Type,Error,QOQ Revenue Growth (%),QOQ Revenue Ascending,YOY Revenue Growth (%),YOY Revenue Ascending,QOQ Profit before tax Growth (%),QOQ Profit before tax Ascending,YOY Profit before tax Growth (%),YOY Profit before tax Ascending,QOQ Net Profit Growth (%),QOQ Net Profit Ascending,YOY Net Profit Growth (%),YOY Net Profit Ascending,QOQ EPS in Rs Growth (%),QOQ EPS in Rs Ascending,YOY EPS in Rs Growth (%),YOY EPS in Rs Ascending
HINDUNILVR,Non-Finance,None,-0.07,FAIL,2.08,PASS,-0.93,FAIL,3.94,PASS,-0.89,FAIL,2.58,PASS,-0.99,FAIL,2.58,PASS
APTUS,Non-Finance,None,7.01,PASS,26.55,PASS,6.91,PASS,22.1,PASS,6.39,PASS,22.19,PASS,6.38,PASS,21.99,PASS
RAMCOCEM,Non-Finance,None,5.17,FAIL,2.9,FAIL,118.89,FAIL,-13.16,FAIL,161.52,FAIL,-5.57,FAIL,164.24,FAIL,-4.9,FAIL
MEDPLUS,Non-Finance,None,1.61,FAIL,16.08,PASS,47.22,FAIL,83.14,PASS,45.9,FAIL,66.0,PASS,43.74,FAIL,66.62,PASS
CANFINHOME,Finance,None,2.38,PASS,19.28,PASS,3.11,FAIL,14.34,PASS,5.45,PASS,17.52,PASS,5.52,PASS,17.51,PASS
RELAXO,Non-Finance,None,-2.26,FAIL,0.23,FAIL,13.33,FAIL,6.8,FAIL,14.33,FAIL,7.44,FAIL,14.31,FAIL,7.3,FAIL
AEGISLOG,Non-Finance,None,-2.0,FAIL,-10.23,FAIL,-11.31,FAIL,19.88,PASS,-10.62,FAIL,18.36,PASS,-12.86,FAIL,12.26,PASS
BPCL,Non-Finance,None,-0.24,FAIL,-3.52,FAIL,21.04,FAIL,566.63,FAIL,20.64,FAIL,555.02,FAIL,20.65,FAIL,555.27,FAIL
PIIND,Non-Finance,None,-4.35,FAIL,11.08,PASS,-6.83,FAIL,22.13,PASS,-8.32,FAIL,17.72,FAIL,-8.25,FAIL,17.75,FAIL
CELLO,Non-Finance,None,5.74,FAIL,9.05,PASS,2.77,FAIL,13.37,PASS,2.62,FAIL,13.72,PASS,0.95,FAIL,6.31,FAIL
VTL,Non-Finance,None,2.89,FAIL,-1.64,FAIL,-1.86,FAIL,9.33,FAIL,0.65,FAIL,9.19,FAIL,0.74,FAIL,9.63,FAIL
PGHL,Non-Finance,None,7.32,FAIL,-2.82,FAIL,109.68,FAIL,1.9,FAIL,109.83,FAIL,2.84,FAIL,112.35,FAIL,2.65,FAIL
VAIBHAVGBL,Non-Finance,None,5.01,FAIL,12.08,PASS,21.89,FAIL,19.48,PASS,28.47,FAIL,20.71,PASS,27.78,FAIL,20.41,PASS
POWERGRID,Non-Finance,None,3.78,FAIL,0.21,FAIL,3.24,PASS,4.4,PASS,3.65,PASS,0.33,FAIL,3.65,PASS,0.33,FAIL
DBREALTY,Non-Finance,None,90.47,FAIL,14.09,FAIL,313.87,FAIL,-1232.02,FAIL,211.7,FAIL,-836.6,FAIL,250.85,FAIL,-582.15,FAIL
GREENLAM,Non-Finance,None,-0.69,FAIL,11.38,PASS,-10.1,FAIL,-3.33,FAIL,-14.33,FAIL,-7.38,FAIL,-14.01,FAIL,-7.25,FAIL
TITAGARH,Non-Finance,None,-3.92,FAIL,20.1,PASS,-4.38,FAIL,58.05,PASS,-5.51,FAIL,64.02,PASS,-5.65,FAIL,48.13,PASS
LODHA,Non-Finance,None,17.07,FAIL,21.26,PASS,31.74,FAIL,212.01,PASS,36.65,FAIL,147.6,PASS,36.44,FAIL,143.19,PASS
PATANJALI,Non-Finance,None,10.6,PASS,87.09,PASS,9.06,FAIL,-1079.97,PASS,11.44,FAIL,-838.44,PASS,11.42,FAIL,-5891.84,PASS
SAREGAMA,Non-Finance,None,22.51,FAIL,27.39,PASS,18.56,FAIL,5.56,PASS,18.72,FAIL,5.03,PASS,19.07,FAIL,4.99,PASS
FINPIPE,Non-Finance,None,3.54,FAIL,-2.94,FAIL,29.78,FAIL,81.51,PASS,37.66,FAIL,78.81,PASS,37.61,FAIL,78.9,PASS
HDFCAMC,Non-Finance,None,5.41,FAIL,N/A,N/A,3.8,FAIL,N/A,N/A,2.05,FAIL,N/A,N/A,2.05,FAIL,N/A,N/A
POLYMED,Non-Finance,None,4.68,PASS,22.39,PASS,8.34,FAIL,38.42,PASS,7.83,FAIL,37.76,PASS,5.7,FAIL,34.07,PASS
MHRIL,Non-Finance,None,6.23,PASS,5.14,PASS,94.64,PASS,7.1,FAIL,136.7,PASS,5.19,PASS,132.63,PASS,5.24,PASS
EMCURE,Non-Finance,None,5.38,FAIL,14.91,PASS,9.87,FAIL,15.44,FAIL,11.85,FAIL,13.93,FAIL,10.39,FAIL,12.12,FAIL
TVSHLTD,Non-Finance,None,4.16,FAIL,15.68,PASS,10.4,FAIL,34.24,PASS,10.97,FAIL,34.43,PASS,13.44,FAIL,34.33,PASS
VOLTAS,Non-Finance,None,8.45,FAIL,27.44,PASS,6.04,FAIL,101.68,PASS,6.12,FAIL,159.32,PASS,7.02,FAIL,160.25,PASS
CMSINFO,Non-Finance,None,1.28,FAIL,12.67,PASS,2.16,PASS,11.55,PASS,2.52,PASS,12.02,PASS,2.35,FAIL,8.9,PASS
MAHSEAMLES,Non-Finance,None,5.32,FAIL,-5.86,FAIL,8.53,FAIL,6.69,FAIL,4.75,FAIL,1.53,FAIL,4.65,FAIL,1.82,FAIL
WHIRLPOOL,Non-Finance,None,-4.76,FAIL,9.19,PASS,30.88,FAIL,31.49,PASS,28.34,FAIL,31.03,PASS,30.74,FAIL,32.27,FAIL
SURYAROSNI,Non-Finance,None,5.94,FAIL,-3.56,FAIL,48.36,FAIL,0.72,FAIL,48.7,FAIL,1.69,FAIL,48.26,FAIL,1.7,FAIL
PERSISTENT,Non-Finance,None,5.81,PASS,19.58,PASS,8.02,PASS,21.25,PASS,9.05,PASS,23.38,PASS,8.84,PASS,22.69,PASS
UBL,Non-Finance,None,-1.28,FAIL,9.03,PASS,9.02,FAIL,20.97,PASS,18.9,FAIL,21.15,PASS,19.9,FAIL,21.3,PASS
TRIVENI,Non-Finance,None,-0.14,FAIL,-2.17,FAIL,-181.8,FAIL,-59.5,FAIL,-182.39,FAIL,-62.14,FAIL,-197.37,FAIL,-60.97,FAIL
SUNTECK,Non-Finance,None,-7.83,FAIL,53.53,PASS,30.83,PASS,1183.82,PASS,30.44,PASS,3555.63,PASS,30.93,PASS,2425.99,PASS
LT,Non-Finance,None,10.59,PASS,18.13,PASS,21.68,FAIL,17.42,PASS,23.61,FAIL,18.87,PASS,28.14,FAIL,21.31,PASS
SAMMAANCAP,Finance,None,-0.84,FAIL,-0.55,FAIL,-348.48,FAIL,-120.93,FAIL,-349.33,FAIL,-120.71,FAIL,-264.44,FAIL,-114.89,FAIL
KIRLOSENG,Non-Finance,None,3.06,FAIL,12.57,PASS,8.11,FAIL,21.05,PASS,7.1,FAIL,20.36,PASS,6.61,FAIL,21.64,PASS
NPST,Non-Finance,None,-6.72,FAIL,130.71,PASS,1.33,FAIL,187.3,PASS,0.06,FAIL,183.6,PASS,0.11,FAIL,196.64,PASS
OLAELEC,Non-Finance,None,-12.4,FAIL,50.11,PASS,13.33,FAIL,11.32,FAIL,13.33,FAIL,11.32,FAIL,-13.47,FAIL,-9.3,FAIL
CAMPUS,Non-Finance,None,66.2,FAIL,32.53,FAIL,2449.89,FAIL,57.5,FAIL,865.08,FAIL,121.77,FAIL,409.72,FAIL,22.65,FAIL
LATENTVIEW,Non-Finance,None,9.2,PASS,25.61,PASS,6.27,FAIL,10.24,PASS,9.54,PASS,5.69,PASS,11.62,PASS,5.53,PASS
EPL,Non-Finance,None,3.4,FAIL,6.8,PASS,18.42,FAIL,28.73,PASS,21.19,PASS,32.12,FAIL,21.55,PASS,30.86,FAIL
HCG,Non-Finance,None,3.66,PASS,14.67,PASS,-193.02,FAIL,17.47,FAIL,-7.82,FAIL,73.64,PASS,-2.32,FAIL,28.09,FAIL
KANSAINER,Non-Finance,None,-5.16,FAIL,1.85,PASS,79.23,FAIL,70.25,FAIL,106.8,FAIL,72.79,FAIL,107.67,FAIL,73.31,FAIL
IRCTC,Non-Finance,None,2.37,FAIL,N/A,N/A,6.22,PASS,N/A,N/A,6.39,PASS,N/A,N/A,6.37,PASS,N/A,N/A
TANLA,Non-Finance,None,0.73,FAIL,9.81,PASS,-5.62,FAIL,6.13,FAIL,-5.98,FAIL,7.42,FAIL,-5.94,FAIL,7.41,FAIL
ROUTE,Non-Finance,None,2.18,FAIL,13.23,PASS,-5.02,FAIL,6.37,FAIL,-5.96,FAIL,1.34,FAIL,-7.15,FAIL,-0.62,FAIL
TATAINVEST,Non-Finance,None,67.61,FAIL,9.1,FAIL,-5.04,FAIL,19.95,FAIL,0.26,FAIL,16.91,FAIL,0.83,FAIL,16.96,FAIL
ELECTCAST,Non-Finance,None,-5.4,FAIL,0.33,FAIL,-23.62,FAIL,58.57,FAIL,-7.73,FAIL,65.06,FAIL,-7.68,FAIL,60.67,FAIL
ZAGGLE,Non-Finance,None,17.9,PASS,N/A,N/A,24.1,FAIL,N/A,N/A,24.22,PASS,N/A,N/A,22.45,FAIL,N/A,N/A
INDHOTEL,Non-Finance,None,17.42,FAIL,19.82,PASS,39.45,FAIL,41.7,PASS,40.58,FAIL,39.77,PASS,39.15,FAIL,38.38,PASS
PCBL,Non-Finance,None,-0.79,FAIL,21.05,PASS,-7.59,FAIL,0.75,FAIL,-4.21,FAIL,-0.16,FAIL,-4.23,FAIL,-0.17,FAIL
TEXRAIL,Non-Finance,None,7.91,FAIL,50.98,PASS,-5.2,FAIL,411.48,PASS,-6.85,FAIL,227.48,PASS,-7.03,FAIL,184.94,PASS
NAUKRI,Non-Finance,None,3.19,PASS,8.41,PASS,43.25,FAIL,289.08,PASS,121.99,FAIL,-464.5,PASS,378.66,FAIL,-319.23,FAIL
