,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,221,296,215,239,392,389,323,368,574,920,658,496,318
Expenses +,162,258,158,195,283,373,260,283,378,808,528,384,302
Operating Profit,60,37,57,45,110,16,63,85,196,112,130,112,16
OPM %,27%,13%,26%,19%,28%,4%,19%,23%,34%,12%,20%,23%,5%
Other Income +,25,25,82,13,18,91,13,13,22,27,18,32,17
Interest,80,84,88,76,94,102,98,105,105,127,119,141,143
Depreciation,4,4,4,4,5,4,5,6,7,10,7,8,8
Profit before tax,1,-26,48,-22,29,1,-28,-13,106,3,22,-5,-118
Tax %,-26%,-24%,28%,-22%,22%,"-2,093%",-36%,-13%,27%,352%,31%,257%,-22%
Net Profit +,1,-20,34,-17,23,27,-18,-11,78,-7,15,-17,-93
EPS in Rs,0.05,-0.85,1.45,-0.72,0.95,1.12,-0.75,-0.47,3.29,-0.28,0.64,-0.71,-3.90
Raw PDF,,,,,,,,,,,,,
