,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,180,168,121,119,244,289,213,266,599,536,342,389,289
Expenses +,204,162,145,187,346,399,306,333,637,682,493,613,416
Operating Profit,-24,6,-23,-68,-102,-109,-93,-67,-37,-146,-151,-224,-127
OPM %,-13%,4%,-19%,-57%,-42%,-38%,-43%,-25%,-6%,-27%,-44%,-58%,-44%
Other Income +,4,5,3,3,10,9,7,4,3,7,44,9,11
Interest,26,34,29,31,27,26,31,29,32,38,42,45,57
Depreciation,6,8,17,16,16,16,16,10,15,14,7,7,10
Profit before tax,-52,-31,-66,-112,-136,-143,-132,-103,-82,-191,-157,-267,-183
Tax %,-25%,20%,-24%,-22%,-20%,-27%,-19%,-18%,-12%,-25%,-6%,-10%,-18%
Net Profit +,-39,-37,-50,-87,-109,-104,-106,-84,-72,-144,-147,-239,-150
EPS in Rs,-2.06,-2.15,-2.68,-4.78,-5.79,-5.77,-5.81,-4.61,-3.66,-7.93,-8.06,-13.10,-8.23
Raw PDF,,,,,,,,,,,,,
