,Mar 2023,Mar 2024,TTM
Sales +,"3,541","4,270","4,561"
Expenses +,"2,265","2,804","3,034"
Operating Profit,"1,276","1,466","1,527"
OPM %,36%,34%,33%
Other Income +,148,106,211
Interest,16,19,14
Depreciation,54,57,56
Profit before tax,"1,354","1,496","1,667"
Tax %,26%,26%,
Net Profit +,"1,006","1,111","1,241"
EPS in Rs,12.57,13.89,15.51
Dividend Payout %,44%,47%,
