,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,108,97,107,123,123,112,125,130,154,122,161,147,159
Expenses +,93,88,89,96,97,90,103,103,119,102,134,121,134
Operating Profit,15,9,18,27,26,22,22,27,34,20,28,26,25
OPM %,14%,9%,17%,22%,21%,20%,17%,21%,22%,16%,17%,18%,16%
Other Income +,4,4,4,3,1,2,3,4,2,5,4,4,2
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,3,3,3,4,4,4,4,4,4,4,5,5,5
Profit before tax,15,9,18,25,23,20,21,26,31,20,26,25,21
Tax %,26%,18%,24%,27%,30%,27%,27%,27%,19%,26%,25%,25%,21%
Net Profit +,11,8,14,19,16,15,15,19,25,14,20,19,16
EPS in Rs,1.07,0.70,1.24,1.69,1.49,1.37,1.37,1.76,2.35,1.37,1.79,1.71,1.50
Raw PDF,,,,,,,,,,,,,
