,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,13,19,21,25,29,33,37,39,41,45,48,49,53
Interest,5,8,12,14,14,15,19,22,23,24,25,26,26
Expenses +,263,271,278,281,287,314,320,326,353,389,404,407,438
Financing Profit,-255,-260,-268,-270,-272,-297,-303,-308,-335,-367,-382,-384,-411
Financing Margin %,"-2,006%","-1,389%","-1,249%","-1,067%",-925%,-900%,-828%,-787%,-808%,-810%,-799%,-777%,-779%
Other Income +,273,270,282,289,294,315,322,331,360,392,408,412,441
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,18,10,14,19,22,19,20,23,25,24,26,28,30
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,19%,19%
Net Profit +,18,10,14,19,22,19,20,23,25,24,21,23,24
EPS in Rs,2.12,1.21,1.66,2.30,2.65,2.25,2.35,2.74,3.03,2.92,2.54,2.78,2.88
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
