,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,39,35,43,37,54,47,35,33,59,71,56,72,89
Expenses +,25,26,31,26,35,30,29,25,29,35,35,43,47
Operating Profit,14,10,12,11,19,16,6,8,31,36,20,29,43
OPM %,35%,27%,28%,29%,36%,35%,17%,23%,52%,51%,37%,41%,48%
Other Income +,1,-43,1,2,2,1,1,1,3,0,1,1,2
Interest,1,0,1,1,0,1,1,1,1,1,1,2,3
Depreciation,5,5,8,9,9,11,11,11,11,11,12,12,16
Profit before tax,9,-39,4,3,12,6,-5,-3,21,24,9,16,26
Tax %,27%,6%,56%,6%,33%,64%,4%,21%,26%,39%,40%,32%,21%
Net Profit +,6,-41,2,3,8,2,-5,-3,16,15,5,11,21
EPS in Rs,2.64,2.09,1.36,1.30,2.13,0.57,-1.41,-0.87,4.19,3.76,1.36,2.83,5.20
Raw PDF,,,,,,,,,,,,,
