,Dec 2023,Sep 2024,Dec 2024
Sales +,435,441,449
Expenses +,397,398,416
Operating Profit,38,43,32
OPM %,9%,10%,7%
Other Income +,5,5,4
Interest,6,7,5
Depreciation,11,11,11
Profit before tax,26,29,20
Tax %,25%,25%,26%
Net Profit +,19,22,15
EPS in Rs,3.41,3.86,2.58
Raw PDF,,,
