,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,447,471,505,517,482,573,550,630,791,849,865,760,821
Expenses +,258,180,188,189,210,220,237,255,505,272,324,336,360
Operating Profit,189,291,316,328,272,353,313,375,286,577,541,424,461
OPM %,42%,62%,63%,63%,56%,62%,57%,60%,36%,68%,63%,56%,56%
Other Income +,132,8,19,13,48,8,73,41,260,-1,28,175,101
Interest,96,88,98,106,108,125,146,167,207,214,232,222,218
Depreciation,10,10,12,12,12,13,14,14,17,16,17,17,20
Profit before tax,214,201,226,223,200,224,227,235,323,345,319,359,324
Tax %,23%,22%,23%,23%,22%,18%,18%,18%,25%,29%,23%,23%,23%
Net Profit +,165,157,174,172,155,184,186,192,243,244,245,276,250
EPS in Rs,4.66,4.41,4.91,4.82,4.37,5.15,5.21,5.36,6.76,6.72,6.73,7.12,6.35
Raw PDF,,,,,,,,,,,,,
