,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"2,418","2,227","1,957","2,113","1,869","2,154","2,184","2,509","2,411","2,575","2,536","2,873","2,490"
Expenses +,"2,107","2,001","1,805","1,985","1,675","1,875","1,874","2,151","2,072","2,217","2,195","2,515","2,209"
Operating Profit,311,226,152,129,194,278,310,358,339,359,342,358,280
OPM %,13%,10%,8%,6%,10%,13%,14%,14%,14%,14%,13%,12%,11%
Other Income +,-16,20,22,23,35,42,31,33,43,42,52,63,38
Interest,21,26,32,28,36,33,26,34,42,52,43,55,62
Depreciation,107,111,105,110,114,114,99,98,100,96,97,86,98
Profit before tax,167,109,36,14,79,173,216,259,240,252,253,280,158
Tax %,22%,53%,41%,40%,44%,26%,25%,23%,25%,48%,27%,28%,22%
Net Profit +,131,51,21,8,44,129,163,200,179,131,186,202,123
EPS in Rs,1.32,0.52,0.22,0.09,0.42,1.25,1.66,2.02,1.82,1.50,1.91,2.07,1.24
Raw PDF,,,,,,,,,,,,,
