,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"7,860","8,182","8,708","9,457","10,021","10,730","11,248","11,572","12,199","12,547","12,686","12,801","10,634"
Interest,"3,875","4,057","4,406","4,962","5,351","5,863","6,171","6,277","6,822","7,139","7,339","7,573","7,586"
Expenses +,"3,970","3,877","3,910","3,950","4,096","4,237","4,424","4,618","4,753","4,947","5,752","5,726","6,770"
Financing Profit,15,248,392,545,574,630,653,677,623,460,-405,-498,"-3,722"
Financing Margin %,0%,3%,4%,6%,6%,6%,6%,6%,5%,4%,-3%,-4%,-35%
Other Income +,"1,903","1,932","2,011","2,076","2,154","2,210","2,282","2,396","2,508","2,442","2,185","2,355",709
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"1,918","2,180","2,403","2,622","2,727","2,840","2,935","3,073","3,131","2,902","1,780","1,857","-3,013"
Tax %,27%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,24%,-23%
Net Profit +,"1,401","1,631","1,805","1,964","2,043","2,124","2,202","2,301","2,349","2,171","1,331","1,402","-2,329"
EPS in Rs,18.08,21.04,23.29,25.32,26.34,27.38,28.34,29.59,30.18,27.88,17.09,18.00,-29.89
Gross NPA %,2.27%,2.35%,2.11%,2.06%,1.98%,1.94%,1.93%,1.92%,1.92%,2.02%,2.11%,2.25%,3.13%
Net NPA %,0.64%,0.67%,0.61%,0.62%,0.59%,0.58%,0.57%,0.57%,0.57%,0.60%,0.64%,0.68%,0.95%
Raw PDF,,,,,,,,,,,,,
