,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,394,384,355,461,720,669,875,639,554,631,778,746,697
Expenses +,345,346,317,405,662,605,799,550,470,520,703,668,616
Operating Profit,49,37,39,56,58,63,76,89,84,110,75,78,81
OPM %,12%,10%,11%,12%,8%,9%,9%,14%,15%,18%,10%,10%,12%
Other Income +,1,4,0,1,4,2,1,5,9,2,5,11,22
Interest,3,3,3,7,7,11,8,21,19,26,19,20,19
Depreciation,17,19,18,20,20,27,25,26,42,68,41,44,47
Profit before tax,31,19,18,31,36,27,45,47,32,19,21,25,37
Tax %,24%,25%,26%,26%,26%,22%,26%,34%,15%,26%,25%,15%,28%
Net Profit +,24,15,14,25,28,21,33,31,27,14,15,22,26
EPS in Rs,0.81,0.48,0.50,0.85,0.97,0.68,1.12,0.94,0.96,0.31,0.45,0.53,0.92
Raw PDF,,,,,,,,,,,,,
