,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"27,328","37,897","38,680","35,885","33,207","32,789","32,986","34,698","32,756","34,738","33,889","36,835","36,442"
Expenses +,"23,064","33,350","36,777","35,403","32,651","30,128","29,405","30,490","28,908","29,948","29,952","33,665","32,907"
Operating Profit,"4,264","4,547","1,904",482,556,"2,660","3,580","4,208","3,849","4,790","3,937","3,169","3,535"
OPM %,16%,12%,5%,1%,2%,8%,11%,12%,12%,14%,12%,9%,10%
Other Income +,788,419,548,999,871,529,595,915,651,685,643,"3,211",672
Interest,57,58,82,120,107,185,200,176,159,209,188,169,182
Depreciation,619,677,695,699,631,722,837,872,"1,241","1,152",922,939,786
Profit before tax,"4,375","4,230","1,675",662,689,"2,283","3,138","4,075","3,099","4,114","3,470","5,272","3,240"
Tax %,21%,23%,22%,40%,7%,21%,22%,22%,20%,23%,22%,23%,23%
Net Profit +,"3,474","3,251","1,305",398,643,"1,793","2,442","3,193","2,474","3,183","2,690","4,084","2,506"
EPS in Rs,5.19,4.95,2.00,0.63,0.96,2.73,3.72,4.86,3.75,4.84,4.10,6.21,3.79
Raw PDF,,,,,,,,,,,,,
