,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,748,"1,388","1,370","1,999","2,726","3,781","3,700"
Expenses +,619,"1,172","1,161","1,610","2,365","3,227","3,165"
Operating Profit,129,215,209,390,361,555,534
OPM %,17%,16%,15%,19%,13%,15%,14%
Other Income +,18,10,12,5,-646,-322,-296
Interest,1,14,7,3,40,65,47
Depreciation,9,26,30,34,71,182,198
Profit before tax,138,186,185,357,-396,-16,-6
Tax %,35%,27%,26%,25%,18%,545%,
Net Profit +,90,136,137,269,-466,-100,-92
EPS in Rs,7.48,11.31,11.37,16.71,-24.79,-4.86,-4.44
Dividend Payout %,33%,22%,22%,15%,-10%,-51%,
