,Mar 2024,Dec 2024,Mar 2025
Sales +,489.16,622.39,801.42
Expenses +,481.31,607.75,780.68
Operating Profit,7.85,14.64,20.74
OPM %,1.60%,2.35%,2.59%
Other Income +,10.39,7.45,6.60
Interest,10.07,15.45,16.95
Depreciation,1.75,3.21,4.06
Profit before tax,6.42,3.43,6.33
Tax %,-10.28%,57.43%,23.85%
Net Profit +,7.07,1.46,4.82
EPS in Rs,0.61,0.13,0.42
Raw PDF,,,
