,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,225,240,268,286,299,306,334,351,375,395,421,450,484
Expenses +,39,41,51,47,55,45,56,59,61,61,68,67,75
Operating Profit,187,200,217,239,243,260,277,293,313,334,353,383,409
OPM %,83%,83%,81%,83%,82%,85%,83%,83%,84%,85%,84%,85%,84%
Other Income +,9,8,9,9,12,10,11,13,13,10,14,9,15
Interest,49,54,67,77,78,85,96,98,109,120,128,143,150
Depreciation,2,2,2,2,2,2,3,2,2,3,3,3,3
Profit before tax,144,152,157,168,176,183,190,205,215,222,237,246,271
Tax %,24%,22%,21%,25%,23%,22%,22%,23%,24%,23%,23%,22%,24%
Net Profit +,110,119,123,126,135,142,148,158,164,172,182,190,207
EPS in Rs,2.21,2.39,2.48,2.52,2.72,2.86,2.97,3.16,3.29,3.44,3.64,3.81,4.14
Raw PDF,,,,,,,,,,,,,
