,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,229","1,196",959,"1,036","1,042",976,913,953,896,808,774,882,843
Expenses +,"1,143","1,125",980,"1,008","1,008",946,863,960,846,705,760,853,818
Operating Profit,86,71,-21,27,34,31,50,-7,50,103,14,29,25
OPM %,7%,6%,-2%,3%,3%,3%,5%,-1%,6%,13%,2%,3%,3%
Other Income +,10,8,8,8,14,9,9,10,11,10,10,12,12
Interest,4,4,5,4,5,5,5,5,4,4,4,4,4
Depreciation,9,9,9,9,9,9,9,9,9,9,9,9,10
Profit before tax,82,66,-27,22,34,27,46,-10,47,101,11,28,23
Tax %,30%,25%,-24%,25%,26%,27%,26%,-24%,29%,25%,29%,27%,42%
Net Profit +,57,49,-21,17,25,19,34,-8,34,75,8,20,13
EPS in Rs,40.72,34.98,-14.59,11.73,17.91,13.78,24.20,-5.64,23.79,53.37,5.51,14.47,9.44
Raw PDF,,,,,,,,,,,,,
