,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"1,266","1,388","1,575","1,728","2,043","2,587","3,108"
Interest,732,793,816,761,799,987,"1,174"
Expenses +,276,350,316,387,507,619,737
Financing Profit,258,245,444,580,737,981,"1,197"
Financing Margin %,20%,18%,28%,34%,36%,38%,39%
Other Income +,-14,-2,-0,0,-25,-0,1
Depreciation,9,12,11,13,16,21,25
Profit before tax,235,231,433,567,696,960,"1,173"
Tax %,31%,18%,21%,22%,22%,22%,22%
Net Profit +,162,189,340,445,545,750,912
EPS in Rs,64.37,47.99,8.62,11.27,13.80,18.99,21.14
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
