,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,261,248,291,219,293,253,286,250,278,299,291,306,393
Expenses +,247,238,279,209,279,241,269,235,261,282,273,288,370
Operating Profit,14,9,12,10,15,12,17,15,17,17,18,19,23
OPM %,5%,4%,4%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%
Other Income +,1,0,1,1,1,1,1,1,1,1,1,1,1
Interest,1,1,1,1,1,1,2,2,2,2,2,2,2
Depreciation,4,4,4,4,4,5,6,6,6,6,6,7,7
Profit before tax,10,5,8,6,11,6,9,8,11,9,10,10,15
Tax %,24%,26%,25%,27%,30%,27%,25%,27%,23%,26%,26%,26%,25%
Net Profit +,7,4,6,5,7,5,7,6,8,7,7,8,11
EPS in Rs,1.18,0.57,0.93,0.76,1.17,0.74,1.08,0.88,1.29,1.05,1.13,1.21,1.81
Raw PDF,,,,,,,,,,,,,
