,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,862,886,"1,020","2,048","3,154","3,787"
Expenses +,727,784,923,"1,856","2,951","3,463"
Operating Profit,135,102,97,192,203,324
OPM %,16%,11%,9%,9%,6%,9%
Other Income +,13,18,12,44,56,47
Interest,15,10,9,26,41,58
Depreciation,19,23,19,31,51,75
Profit before tax,113,87,81,179,166,237
Tax %,19%,24%,33%,31%,25%,22%
Net Profit +,92,69,57,123,124,184
EPS in Rs,"1,281.97",916.98,4.04,6.75,6.04,9.57
Dividend Payout %,0%,0%,0%,22%,25%,16%
