,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,562,691,665,736,801,750,798,801,790,758,871,885,918
Expenses +,"1,148",681,627,702,764,709,743,736,753,702,802,811,856
Operating Profit,-585,10,38,34,37,40,56,65,37,56,69,74,62
OPM %,-104%,1%,6%,5%,5%,5%,7%,8%,5%,7%,8%,8%,7%
Other Income +,10,31,0,5,9,6,6,6,8,6,7,5,13
Interest,13,14,14,15,12,17,21,22,16,19,23,26,25
Depreciation,14,13,14,12,18,15,15,15,15,16,18,16,17
Profit before tax,-602,14,10,11,16,15,24,33,14,27,36,38,33
Tax %,-2%,25%,-10%,13%,-36%,-41%,-3%,-4%,27%,-2%,18%,4%,19%
Net Profit +,-592,10,11,9,22,21,25,34,10,27,29,36,26
EPS in Rs,-62.05,1.07,1.06,0.79,1.90,1.82,2.15,2.91,0.82,2.29,2.45,3.02,2.20
Raw PDF,,,,,,,,,,,,,
