,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"3,324","3,101","4,308","4,899","3,139","3,573","4,758","5,070","3,428","3,507","4,686","5,128","3,421"
Expenses +,"3,048","2,684","3,942","4,541","2,829","3,295","4,492","4,775","3,178","3,256","4,382","4,822","3,111"
Operating Profit,275,418,366,358,310,278,267,295,250,251,304,306,310
OPM %,8%,13%,8%,7%,10%,8%,6%,6%,7%,7%,6%,6%,9%
Other Income +,15,6,3,3,8,16,13,72,-7,-17,42,77,9
Interest,180,182,161,150,150,106,110,109,104,100,102,91,85
Depreciation,25,26,25,25,26,3,2,2,3,3,2,2,2
Profit before tax,84,216,182,186,142,185,168,255,136,132,242,290,232
Tax %,25%,27%,26%,26%,26%,25%,25%,21%,29%,27%,22%,19%,22%
Net Profit +,63,157,135,138,104,140,125,202,97,96,189,234,181
EPS in Rs,2.04,5.01,3.97,4.05,3.10,4.29,3.79,6.13,2.68,3.09,5.87,7.34,5.32
Raw PDF,,,,,,,,,,,,,
