,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,309","1,462","1,417","1,496","1,418","1,200","1,093","1,341","1,413","1,514","1,451","1,316","1,325"
Expenses +,982,"1,163","1,094","1,027",954,837,858,924,"1,005","1,005",918,958,961
Operating Profit,327,299,324,469,465,363,236,417,407,510,533,357,365
OPM %,25%,20%,23%,31%,33%,30%,22%,31%,29%,34%,37%,27%,28%
Other Income +,68,44,39,46,55,51,94,25,113,49,43,45,88
Interest,76,50,47,38,50,35,56,40,40,40,43,64,39
Depreciation,160,172,190,195,196,197,200,251,241,220,234,255,243
Profit before tax,159,121,126,282,274,182,74,151,239,298,298,84,171
Tax %,7%,10%,9%,6%,-39%,5%,11%,11%,-29%,2%,2%,10%,-8%
Net Profit +,148,109,114,267,380,172,66,134,307,291,291,76,185
EPS in Rs,3.18,2.34,2.46,5.72,8.16,3.68,1.41,2.88,6.60,6.26,6.26,1.62,3.97
Raw PDF,,,,,,,,,,,,,
