,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,186.14,280.84,455.70,278.17,296.44,242.05,657.21,256.56,334.87,240.93
Expenses +,164.98,241.19,391.34,245.49,258.10,208.08,552.32,222.98,286.23,213.39
Operating Profit,21.16,39.65,64.36,32.68,38.34,33.97,104.89,33.58,48.64,27.54
OPM %,11.37%,14.12%,14.12%,11.75%,12.93%,14.03%,15.96%,13.09%,14.53%,11.43%
Other Income +,0.40,1.05,1.49,0.96,1.63,2.71,3.49,2.25,1.89,2.18
Interest,5.80,8.15,9.75,8.94,8.69,10.74,14.60,12.82,15.22,18.12
Depreciation,1.37,1.86,2.09,2.75,2.51,2.84,3.08,3.32,3.63,3.98
Profit before tax,14.39,30.69,54.01,21.95,28.77,23.10,90.70,19.69,31.68,7.62
Tax %,25.16%,26.10%,26.11%,25.10%,26.14%,24.81%,25.99%,25.04%,25.06%,49.48%
Net Profit +,10.78,22.69,39.91,16.44,21.25,17.37,67.13,14.76,23.73,3.86
EPS in Rs,3.83,7.28,4.27,1.76,1.70,1.39,5.39,1.18,1.90,0.31
Raw PDF,,,,,,,,,,
