,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,277,217,292,321,362,258,389,444,428
Expenses +,245,197,268,292,324,238,358,416,371
Operating Profit,32,20,24,29,38,20,32,28,57
OPM %,12%,9%,8%,9%,11%,8%,8%,6%,13%
Other Income +,-1,1,9,9,8,9,7,7,3
Interest,9,9,8,8,9,8,11,10,9
Depreciation,5,5,5,6,6,7,7,10,10
Profit before tax,17,7,20,25,31,14,21,15,42
Tax %,27%,23%,26%,25%,26%,25%,26%,27%,26%
Net Profit +,13,5,15,18,23,11,15,11,31
EPS in Rs,2.38,0.94,1.85,2.33,2.87,1.34,1.95,1.39,3.91
Raw PDF,,,,,,,,,
