,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,251,315,310,328,280,324,302,331,298,306,306,329,293
Expenses +,206,244,252,266,240,277,257,265,243,255,260,267,239
Operating Profit,45,70,58,62,40,47,44,66,55,51,46,62,53
OPM %,18%,22%,19%,19%,14%,14%,15%,20%,18%,17%,15%,19%,18%
Other Income +,6,3,5,3,1,4,4,2,8,3,4,6,3
Interest,16,17,18,18,18,19,20,19,19,19,19,19,21
Depreciation,34,35,35,38,37,37,44,41,45,40,41,43,52
Profit before tax,0,21,10,9,-14,-5,-15,8,-1,-5,-10,5,-16
Tax %,-104%,23%,26%,19%,-18%,-26%,-21%,35%,-96%,-21%,-28%,-7%,25%
Net Profit +,0,16,8,7,-12,-4,-12,5,-0,-4,-7,5,-21
EPS in Rs,-0.02,3.90,1.82,1.69,-3.03,-1.11,-3.17,1.11,-0.27,-1.24,-1.85,1.16,-5.18
Raw PDF,,,,,,,,,,,,,
