,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,71.69,81.68,75.44,74.23,81.98,78.80,76.65,83.24,81.61,74.08,82.55,80.72,67.52
Expenses +,59.15,67.09,61.25,59.10,65.16,64.36,62.74,66.92,66.89,61.76,71.71,68.54,61.08
Operating Profit,12.54,14.59,14.19,15.13,16.82,14.44,13.91,16.32,14.72,12.32,10.84,12.18,6.44
OPM %,17.49%,17.86%,18.81%,20.38%,20.52%,18.32%,18.15%,19.61%,18.04%,16.63%,13.13%,15.09%,9.54%
Other Income +,1.54,0.29,0.74,0.72,0.85,0.38,0.44,1.13,0.88,0.16,1.19,1.57,2.64
Interest,1.83,1.93,1.93,1.80,2.07,1.54,1.68,1.91,1.44,1.08,1.41,1.51,1.52
Depreciation,7.02,6.28,6.71,6.84,7.95,5.22,5.12,5.85,5.95,5.29,5.18,5.26,6.43
Profit before tax,5.23,6.67,6.29,7.21,7.65,8.06,7.55,9.69,8.21,6.11,5.44,6.98,1.13
Tax %,42.07%,29.24%,28.93%,30.65%,26.01%,28.91%,24.64%,36.53%,25.70%,25.37%,24.63%,29.08%,461.06%
Net Profit +,3.03,4.72,4.47,5.00,5.66,5.73,5.69,6.15,6.10,4.56,4.10,4.95,-4.08
EPS in Rs,1.33,2.07,1.96,2.19,2.48,2.51,2.49,2.70,2.67,2.00,1.80,2.17,-1.79
Raw PDF,,,,,,,,,,,,,
