,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,64,70,56,56,69,67,70,78,92,80,90,84,116
Expenses +,48,52,40,41,57,54,54,61,71,63,70,67,90
Operating Profit,16,18,16,15,11,14,15,17,21,17,20,18,26
OPM %,25%,26%,28%,27%,17%,20%,22%,21%,22%,22%,22%,21%,22%
Other Income +,2,0,1,0,-15,0,0,1,-7,0,0,1,1
Interest,1,1,1,2,2,2,2,3,3,2,3,2,2
Depreciation,3,3,4,4,4,5,5,5,5,4,5,5,5
Profit before tax,14,14,12,10,-10,7,8,10,6,11,13,11,19
Tax %,25%,25%,19%,28%,-24%,25%,24%,21%,29%,25%,33%,25%,24%
Net Profit +,10,11,9,7,-7,5,6,8,4,8,8,9,14
EPS in Rs,10.12,10.16,9.08,6.84,-7.11,5.22,6.01,7.41,4.20,8.06,8.16,8.22,13.96
Raw PDF,,,,,,,,,,,,,
