,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,509,541,528,547,616,639,619,634,614,606,558,610,726
Expenses +,389,429,446,451,479,492,501,504,477,487,477,491,524
Operating Profit,121,113,82,96,137,148,118,131,136,119,81,119,202
OPM %,24%,21%,15%,18%,22%,23%,19%,21%,22%,20%,15%,19%,28%
Other Income +,26,10,11,20,20,13,13,20,9,17,29,16,23
Interest,1,1,1,1,0,1,1,1,1,1,1,1,1
Depreciation,26,28,29,31,33,34,34,34,35,37,39,40,41
Profit before tax,120,93,62,84,124,127,97,116,110,98,70,94,182
Tax %,20%,26%,26%,26%,26%,26%,27%,27%,33%,24%,25%,24%,25%
Net Profit +,95,69,46,63,91,94,71,85,73,75,52,71,136
EPS in Rs,7.08,5.09,3.38,4.58,6.68,6.87,5.16,6.17,5.33,5.43,3.82,5.06,9.75
Raw PDF,,,,,,,,,,,,,
