,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,27,27,29,23,18,20,24,30,40,40,40,40
Expenses +,19,19,22,16,15,20,18,22,25,32,28,31
Operating Profit,9,8,7,8,3,1,6,8,15,9,12,9
OPM %,32%,30%,24%,33%,17%,3%,26%,26%,38%,21%,29%,23%
Other Income +,6,6,6,5,-39,7,6,9,7,13,32,38
Interest,4,5,5,5,4,11,14,14,17,14,15,17
Depreciation,4,4,3,4,4,6,7,8,9,8,8,9
Profit before tax,8,5,5,4,-44,-9,-8,-6,-3,-1,20,21
Tax %,15%,26%,29%,-10%,-13%,-50%,-8%,-25%,-31%,14%,23%,34%
Net Profit +,6,4,4,5,-38,-5,-8,-5,-2,-1,16,14
EPS in Rs,,,,,,0.01,-0.21,-0.10,0.11,0.13,1.23,1.08
Raw PDF,,,,,,,,,,,,
