,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,349,277,324,388,430,441,420,424,587,375,394,514,619
Expenses +,335,255,300,355,391,409,381,385,526,345,372,461,556
Operating Profit,15,22,24,33,39,33,38,39,62,29,22,53,63
OPM %,4%,8%,7%,8%,9%,7%,9%,9%,11%,8%,6%,10%,10%
Other Income +,9,7,7,7,8,10,7,10,12,10,11,9,13
Interest,5,5,5,6,7,5,5,5,5,3,3,3,4
Depreciation,3,3,3,3,3,3,3,4,5,5,5,5,5
Profit before tax,16,21,23,31,37,33,37,40,64,32,25,54,68
Tax %,27%,24%,25%,24%,27%,24%,24%,25%,24%,25%,26%,25%,26%
Net Profit +,12,16,17,23,27,25,28,30,49,24,19,41,50
EPS in Rs,10.27,14.45,14.99,20.43,23.77,22.42,24.68,26.27,42.95,21.17,16.62,35.94,44.51
Raw PDF,,,,,,,,,,,,,
