,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"17,028","18,256","19,778","20,966","22,163","23,613","24,732","25,521","26,510","26,527","26,887","27,135","27,869"
Interest,"10,409","10,598","11,384","12,242","13,810","14,664","15,498","16,236","16,966","17,004","17,720","17,765","18,245"
Expenses +,"6,940","8,442","9,598","8,817","10,041","7,978","7,962","8,012","9,365","9,367","8,686","8,096","9,673"
Financing Profit,-321,-784,"-1,204",-93,"-1,688",971,"1,271","1,273",179,156,480,"1,274",-49
Financing Margin %,-2%,-4%,-6%,-0%,-8%,4%,5%,5%,1%,1%,2%,5%,-0%
Other Income +,"2,326","2,948","3,697","3,669","5,601","4,209","4,221","4,281","5,102","4,799","5,926","4,614","6,223"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,005","2,165","2,493","3,576","3,912","5,180","5,492","5,554","5,281","4,954","6,406","5,889","6,175"
Tax %,23%,28%,26%,37%,28%,37%,35%,35%,37%,27%,26%,22%,19%
Net Profit +,"1,557","1,583","1,853","2,264","2,812","3,272","3,572","3,625","3,328","3,642","4,751","4,623","5,011"
EPS in Rs,2.28,2.32,2.71,3.31,4.11,4.79,4.82,4.89,4.36,4.77,6.22,6.06,6.56
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
