,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,241,230,274,303,357,304,354,377,359,313,375,340,406
Expenses +,215,208,243,262,314,266,307,325,311,263,309,280,327
Operating Profit,26,22,31,41,43,38,47,51,48,50,66,60,78
OPM %,11%,9%,11%,13%,12%,13%,13%,14%,13%,16%,18%,18%,19%
Other Income +,21,1,1,52,31,1,6,8,-4,2,3,4,8
Interest,16,13,10,9,8,6,8,8,5,4,3,2,2
Depreciation,8,8,8,8,8,8,8,8,8,8,8,8,7
Profit before tax,23,1,14,76,59,26,37,44,31,40,58,54,77
Tax %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit +,23,1,14,76,59,26,37,44,31,40,58,54,77
EPS in Rs,1.47,0.07,0.84,4.17,3.19,1.34,1.93,2.28,1.63,2.08,3.02,2.79,3.99
Raw PDF,,,,,,,,,,,,,
