,Mar 2009,Mar 2010,Mar 2024,Mar 2025
Sales +,"1,013","1,141","7,990","8,700"
Expenses +,953,"1,078","7,091","7,690"
Operating Profit,60,63,899,"1,010"
OPM %,6%,5%,11%,12%
Other Income +,2,4,23,20
Interest,21,28,154,182
Depreciation,22,27,409,470
Profit before tax,20,12,358,377
Tax %,40%,76%,25%,26%
Net Profit +,12,3,267,279
EPS in Rs,,,12.00,12.52
Dividend Payout %,17%,37%,50%,48%
