,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,178,108,155,94,145,98,103,112,182,113,129,170,183
Expenses +,147,97,142,80,127,91,94,98,168,101,116,143,153
Operating Profit,31,11,12,13,18,6,8,14,14,12,14,27,29
OPM %,17%,10%,8%,14%,12%,6%,8%,13%,8%,10%,11%,16%,16%
Other Income +,2,0,2,1,0,4,4,6,4,5,3,-2,1
Interest,1,1,2,1,1,1,0,0,1,1,1,1,1
Depreciation,8,8,8,8,10,8,8,8,8,7,8,8,8
Profit before tax,24,3,5,5,8,1,4,11,10,8,8,16,22
Tax %,25%,12%,27%,26%,35%,12%,29%,28%,34%,28%,24%,29%,30%
Net Profit +,18,2,4,4,5,1,3,8,6,6,6,11,15
EPS in Rs,4.14,0.55,0.83,0.85,1.14,0.29,0.63,1.89,1.55,1.36,1.50,2.78,3.61
Raw PDF,,,,,,,,,,,,,
