,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,40.56,33.94,42.36,46.09,43.94,43.39,51.75,53.33,78.80,56.79,74.85,74.38,85.67
Expenses +,37.72,31.18,37.42,41.55,36.71,39.84,45.65,45.90,67.91,50.24,65.69,64.65,70.27
Operating Profit,2.84,2.76,4.94,4.54,7.23,3.55,6.10,7.43,10.89,6.55,9.16,9.73,15.40
OPM %,7.00%,8.13%,11.66%,9.85%,16.45%,8.18%,11.79%,13.93%,13.82%,11.53%,12.24%,13.08%,17.98%
Other Income +,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Interest,0.24,0.20,0.30,0.51,0.38,0.40,0.27,0.50,0.30,0.49,0.99,1.22,1.17
Depreciation,1.11,0.89,1.28,1.15,1.36,1.24,1.26,1.23,1.24,1.55,1.84,1.82,1.83
Profit before tax,1.49,1.67,3.36,2.88,5.49,1.91,4.57,5.70,9.35,4.51,6.33,6.69,12.40
Tax %,56.38%,22.16%,36.01%,24.65%,25.32%,23.04%,21.23%,18.07%,32.41%,26.39%,30.49%,21.38%,25.65%
Net Profit +,0.66,1.31,2.14,2.17,4.09,1.47,3.61,4.67,6.32,3.32,4.40,5.26,9.21
EPS in Rs,0.52,1.03,1.69,1.71,3.23,1.16,2.85,3.68,4.98,2.62,3.47,4.15,7.26
Raw PDF,,,,,,,,,,,,,
