,Jun 2006,Jun 2018,Sep 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales +,85,35,36,43,32,33,44,38
Expenses +,46,106,110,42,43,40,55,52
Operating Profit,40,-71,-73,1,-11,-7,-11,-15
OPM %,46%,-202%,-202%,2%,-33%,-22%,-26%,-39%
Other Income +,48,7,9,-28,6,27,215,3
Interest,9,0,0,0,0,0,0,1
Depreciation,9,3,2,3,3,3,2,4
Profit before tax,70,-67,-67,-30,-8,17,201,-17
Tax %,12%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,62,-67,-67,-30,-8,17,201,-17
EPS in Rs,0.33,-1.06,-1.06,-0.47,-0.12,0.26,3.19,-0.27
Raw PDF,,,,,,,,
