,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,434","1,925","1,343","1,514","1,620","1,634","1,745","1,969","2,061","1,853","1,586","2,025","2,149"
Expenses +,852,897,702,782,898,910,"1,026","1,150","1,307","1,049",903,"1,041","1,151"
Operating Profit,581,"1,027",641,732,722,724,719,819,755,804,683,984,998
OPM %,41%,53%,48%,48%,45%,44%,41%,42%,37%,43%,43%,49%,46%
Other Income +,249,71,96,56,79,111,130,109,443,119,166,"5,869",69
Interest,399,385,389,367,373,381,435,433,615,439,434,461,458
Depreciation,189,203,192,215,222,237,233,251,274,255,231,265,286
Profit before tax,242,510,155,206,205,217,182,243,309,229,183,"6,127",323
Tax %,28%,29%,45%,31%,37%,38%,47%,23%,39%,39%,46%,2%,33%
Net Profit +,174,363,85,141,130,134,96,187,189,140,100,"6,026",215
EPS in Rs,0.29,0.60,0.14,0.23,0.22,0.22,0.16,0.31,0.31,0.23,0.17,9.98,0.36
Raw PDF,,,,,,,,,,,,,
