,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,412,445,439,448,497,470,474,474,496,487,479,476,482
Expenses +,376,399,399,420,463,429,435,433,455,440,437,430,444
Operating Profit,36,45,40,28,34,41,39,42,42,47,41,46,38
OPM %,9%,10%,9%,6%,7%,9%,8%,9%,8%,10%,9%,10%,8%
Other Income +,8,8,6,4,6,6,8,8,8,12,14,9,7
Interest,0,0,0,0,0,0,0,0,1,0,1,1,1
Depreciation,4,4,4,4,4,4,4,4,4,4,5,8,7
Profit before tax,40,49,42,28,35,43,42,45,45,55,50,46,37
Tax %,25%,23%,19%,26%,26%,19%,26%,22%,25%,23%,26%,25%,-1%
Net Profit +,30,38,34,20,26,34,31,35,34,43,37,35,37
EPS in Rs,17.35,21.69,19.35,11.73,14.89,19.75,17.90,20.21,19.27,24.63,21.30,19.86,21.43
Raw PDF,,,,,,,,,,,,,
