,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,370,310,329,302,402,423,416,466,432,446,507,533,587
Expenses +,302,311,347,345,386,395,407,435,406,403,452,448,503
Operating Profit,68,-1,-18,-43,16,28,9,31,25,44,55,86,84
OPM %,18%,-0%,-6%,-14%,4%,7%,2%,7%,6%,10%,11%,16%,14%
Other Income +,14,8,4,16,-28,9,6,79,-119,4,9,14,9
Interest,2,3,5,4,6,6,7,6,5,4,5,7,5
Depreciation,23,25,28,31,30,29,29,32,27,28,32,31,30
Profit before tax,58,-21,-47,-61,-47,2,-22,73,-126,15,27,62,58
Tax %,-23%,13%,50%,4%,-6%,132%,12%,-0%,3%,38%,9%,6%,8%
Net Profit +,71,-23,-71,-64,-44,-1,-24,73,-129,9,25,58,53
EPS in Rs,10.15,-3.32,-10.04,-9.08,-6.29,-0.10,-3.48,10.40,-18.37,1.32,3.50,8.22,7.52
Raw PDF,,,,,,,,,,,,,
