,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,598,690,688,701,774,899,943,974,"1,002","1,022",996,950,893
Interest,220,242,251,250,275,313,347,377,411,434,456,463,458
Expenses +,285,355,425,481,457,505,487,567,682,619,834,881,820
Financing Profit,92,94,12,-30,42,81,109,30,-91,-30,-293,-394,-384
Financing Margin %,15%,14%,2%,-4%,5%,9%,12%,3%,-9%,-3%,-29%,-42%,-43%
Other Income +,49,48,65,81,94,93,79,120,150,115,39,112,143
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,141,142,77,51,136,174,188,150,59,85,-255,-282,-241
Tax %,25%,25%,25%,27%,26%,25%,26%,25%,26%,26%,-25%,-25%,-24%
Net Profit +,106,106,58,37,101,130,140,112,43,63,-190,-211,-183
EPS in Rs,2.35,2.36,1.28,0.83,2.26,2.89,3.12,2.18,0.84,1.22,-3.69,-4.09,-3.55
Gross NPA %,7.83%,6.16%,8.11%,7.24%,2.49%,1.65%,2.64%,4.16%,4.76%,6.61%,6.98%,6.96%,6.87%
Net NPA %,3.92%,3.78%,4.34%,3.73%,1.13%,0.81%,1.19%,2.19%,2.26%,3.22%,2.98%,2.97%,2.99%
Raw PDF,,,,,,,,,,,,,
