,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,98.53,88.40,90.09,120.61,124.51,114.36,96.67,84.21,98.27,105.46,83.49,85.90,107.86
Expenses +,76.54,73.19,78.91,102.70,108.24,93.02,76.43,73.21,82.67,92.85,77.91,78.83,98.90
Operating Profit,21.99,15.21,11.18,17.91,16.27,21.34,20.24,11.00,15.60,12.61,5.58,7.07,8.96
OPM %,22.32%,17.21%,12.41%,14.85%,13.07%,18.66%,20.94%,13.06%,15.87%,11.96%,6.68%,8.23%,8.31%
Other Income +,0.31,1.88,1.55,1.08,-2.74,1.02,0.76,1.21,4.53,1.17,0.38,0.04,0.72
Interest,1.18,1.06,1.36,2.38,3.20,2.93,3.01,0.38,0.21,0.31,0.17,0.42,0.39
Depreciation,2.15,2.33,2.31,2.38,2.53,6.01,6.78,6.58,6.23,6.67,6.81,6.92,7.26
Profit before tax,18.97,13.70,9.06,14.23,7.80,13.42,11.21,5.25,13.69,6.80,-1.02,-0.23,2.03
Tax %,7.75%,28.47%,21.52%,18.27%,-117.31%,29.21%,30.60%,34.10%,29.73%,23.53%,-34.31%,-165.22%,49.26%
Net Profit +,17.51,9.80,7.11,11.62,16.95,9.50,7.78,3.46,9.61,5.21,-0.66,0.14,1.03
EPS in Rs,7.90,4.42,3.21,5.24,7.65,4.29,3.33,1.48,4.11,2.23,-0.28,0.06,0.44
Raw PDF,,,,,,,,,,,,,
