,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,131,138,137,149,149,160,168,177
Expenses +,109,113,116,127,128,136,147,151
Operating Profit,22,25,21,22,21,24,22,26
OPM %,17%,18%,15%,15%,14%,15%,13%,15%
Other Income +,2,2,2,8,3,3,2,3
Interest,1,1,0,1,1,1,0,0
Depreciation,4,4,5,6,4,5,6,6
Profit before tax,19,22,18,24,19,21,17,23
Tax %,27%,23%,19%,26%,28%,25%,25%,20%
Net Profit +,14,16,14,18,14,16,13,18
EPS in Rs,"23,233.33","27,450.00",2.36,3.00,2.25,2.62,2.13,3.01
Raw PDF,,,,,,,,
