,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,152,83,94,90,630,382,352,306,342,595,528,717,628
Expenses +,131,72,82,77,557,346,318,272,301,547,481,666,564
Operating Profit,22,12,12,12,74,36,34,34,41,48,46,51,64
OPM %,14%,14%,13%,14%,12%,10%,10%,11%,12%,8%,9%,7%,10%
Other Income +,4,1,2,1,2,2,5,3,8,2,7,25,16
Interest,8,2,2,2,6,6,6,8,8,6,5,8,9
Depreciation,4,1,1,1,2,3,3,4,4,6,6,9,12
Profit before tax,13,9,10,9,68,29,30,25,37,39,42,59,60
Tax %,41%,25%,26%,28%,25%,27%,29%,33%,9%,25%,26%,16%,19%
Net Profit +,8,7,7,7,51,21,21,17,33,29,31,50,48
EPS in Rs,0.72,0.67,0.71,0.65,4.59,1.92,1.94,1.53,2.96,2.60,2.57,3.88,3.71
Raw PDF,,,,,,,,,,,,,
