,Mar 2023,Mar 2024,Mar 2025
Sales +,832,"1,192","1,520"
Expenses +,744,"1,081","1,382"
Operating Profit,88,111,137
OPM %,11%,9%,9%
Other Income +,6,28,26
Interest,32,34,38
Depreciation,19,22,34
Profit before tax,43,82,92
Tax %,26%,25%,26%
Net Profit +,32,61,68
EPS in Rs,6.00,7.72,8.58
Dividend Payout %,0%,0%,0%
