,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,334,380,444,479,564,577,643,638,662,681,555
Expenses +,207,152,146,150,189,208,227,244,334,428,845
Operating Profit,127,228,298,329,374,368,416,394,329,253,-290
OPM %,38%,60%,67%,69%,66%,64%,65%,62%,50%,37%,-52%
Other Income +,7,3,4,1,2,2,2,0,1,1,1
Interest,121,155,168,194,221,232,231,237,237,237,222
Depreciation,6,7,7,8,9,9,10,10,11,11,11
Profit before tax,6,70,126,128,147,130,177,147,81,5,-522
Tax %,26%,18%,25%,25%,25%,4%,32%,23%,24%,25%,-23%
Net Profit +,5,57,95,96,110,125,120,113,62,4,-401
EPS in Rs,0.39,4.87,8.09,8.19,9.38,7.31,7.02,6.64,3.61,0.22,-23.53
Raw PDF,,,,,,,,,,,
