,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,154,226,178,257,545,849,"1,100"
Expenses +,187,223,125,189,388,603,747
Operating Profit,-33,3,53,68,157,246,354
OPM %,-22%,2%,30%,27%,29%,29%,32%
Other Income +,7,-9,38,22,19,25,67
Interest,5,9,47,49,73,93,117
Depreciation,31,54,87,98,150,196,245
Profit before tax,-62,-68,-43,-57,-47,-18,58
Tax %,0%,0%,0%,0%,0%,0%,
Net Profit +,-62,-68,-43,-57,-47,-18,58
EPS in Rs,,,,,,,
Dividend Payout %,0%,0%,0%,0%,0%,0%,
