Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,996","6,528","8,311","10,785","12,585","12,320","11,679","32,292","35,030","38,356","40,182","42,680"
Expenses+,"5,692","6,007","7,205","9,500","11,449","11,145","10,283","27,572","31,463","34,510","36,444","38,358"
Operating Profit,304,521,"1,107","1,284","1,136","1,175","1,396","4,720","3,567","3,846","3,738","4,322"
OPM %,5%,8%,13%,12%,9%,10%,12%,15%,10%,10%,9%,10%
Other Income+,"1,226",-8,52,44,34,45,142,64,106,591,958,589
Interest,916,"1,006",762,541,614,567,464,312,295,393,442,382
Depreciation,393,298,308,304,335,409,373,704,675,715,735,793
Profit before tax,222,-792,89,483,221,244,700,"3,767","2,704","3,328","3,519","3,737"
Tax %,-1%,-29%,34%,34%,37%,37%,39%,26%,26%,24%,23%,24%
Net Profit+,223,-559,58,318,139,153,428,"2,790","2,014","2,531","2,711","2,843"
EPS in Rs,9.85,-24.18,1.46,6.64,2.90,3.14,8.78,53.09,24.46,30.73,32.91,34.48
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,10%,10%,9%,12%
