Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,319","4,790","5,068","5,252","5,389","5,750","6,225","6,587","7,236","7,992","7,278","7,376"
Expenses+,"3,291","3,598","3,875","3,982","4,163","4,178","4,242","4,632","5,390","6,088","5,682","5,628"
Operating Profit,"1,028","1,192","1,193","1,270","1,226","1,572","1,984","1,956","1,846","1,904","1,596","1,748"
OPM %,24%,25%,24%,24%,23%,27%,32%,30%,26%,24%,22%,24%
Other Income+,719,187,807,89,-575,-166,325,569,221,230,825,647
Interest,25,31,31,40,36,55,107,89,90,156,236,337
Depreciation,719,743,765,830,891,977,973,916,996,"1,038",984,"1,044"
Profit before tax,"1,003",605,"1,205",489,-276,374,"1,229","1,520",981,940,"1,202","1,014"
Tax %,33%,35%,43%,45%,60%,44%,22%,23%,32%,32%,13%,22%
Net Profit+,675,393,690,267,-442,209,963,"1,167",666,639,"1,051",794
EPS in Rs,23.67,13.78,24.20,9.36,-15.52,7.33,33.78,40.96,23.37,22.41,36.87,27.86
Dividend Payout %,23%,31%,25%,48%,-29%,55%,41%,51%,90%,75%,68%,63%
