Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,517,374,999,556,"1,434","2,085",570,"1,473","1,155","1,331","1,950","1,395"
Expenses+,409,399,785,682,"1,344","1,700",908,"1,378","1,017","1,407","2,290","2,267"
Operating Profit,108,-25,214,-125,90,385,-337,95,138,-76,-340,-872
OPM %,21%,-7%,21%,-22%,6%,18%,-59%,6%,12%,-6%,-17%,-63%
Other Income+,202,222,222,494,460,520,657,858,945,"1,195","2,208","1,973"
Interest,158,152,157,192,252,266,221,222,233,380,565,542
Depreciation,9,14,13,15,13,17,16,18,19,24,37,70
Profit before tax,144,32,266,162,285,622,83,714,831,714,"1,265",489
Tax %,11%,28%,26%,35%,27%,38%,152%,26%,21%,21%,20%,29%
Net Profit+,128,23,197,105,209,384,-43,526,656,564,"1,011",349
EPS in Rs,6.42,1.05,9.08,4.85,9.13,15.24,-1.55,18.92,23.58,20.30,33.57,11.58
Dividend Payout %,31%,209%,0%,0%,0%,0%,0%,0%,0%,0%,0%,86%
