Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,341","3,528","3,736","3,862","3,581","3,526","3,645","3,896","4,256","4,784","5,099","5,717"
Expenses+,"2,040","2,223","2,367","2,406","1,683","1,595","1,489","1,705","2,103","2,326","2,449","2,727"
Operating Profit,"1,301","1,305","1,369","1,456","1,898","1,931","2,156","2,191","2,152","2,458","2,650","2,990"
OPM %,39%,37%,37%,38%,53%,55%,59%,56%,51%,51%,52%,52%
Other Income+,376,213,380,89,139,169,116,256,253,240,"1,721",680
Interest,0,0,0,0,0,8,5,3,3,2,1,2
Depreciation,63,50,67,57,50,83,80,68,58,60,60,56
Profit before tax,"1,614","1,468","1,683","1,487","1,986","2,009","2,188","2,376","2,343","2,636","4,310","3,611"
Tax %,34%,39%,23%,32%,35%,21%,25%,24%,24%,23%,22%,23%
Net Profit+,"1,058",898,"1,288","1,006","1,282","1,583","1,639","1,811","1,773","2,028","3,351","2,775"
EPS in Rs,125.04,105.80,151.35,117.77,149.51,184.29,190.48,210.00,205.16,233.97,385.74,318.79
Dividend Payout %,532%,95%,112%,110%,0%,98%,105%,90%,110%,102%,69%,85%
