Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,294","1,246","1,292","1,440","1,615","1,523","1,380","1,750","2,228","2,461","2,414","2,363"
Expenses+,992,995,"1,012","1,065","1,184","1,202","1,037","1,238","1,718","1,765","1,844","1,791"
Operating Profit,302,250,280,375,431,321,343,513,510,697,570,572
OPM %,23%,20%,22%,26%,27%,21%,25%,29%,23%,28%,24%,24%
Other Income+,103,106,62,203,162,127,120,275,82,75,864,-192
Interest,1,0,1,1,1,15,15,10,17,22,17,10
Depreciation,62,68,54,51,51,99,96,97,114,95,89,81
Profit before tax,343,288,287,526,541,334,352,681,462,655,"1,327",289
Tax %,21%,19%,17%,24%,19%,26%,21%,16%,23%,24%,15%,47%
Net Profit+,271,234,237,402,441,248,278,569,355,497,"1,125",155
EPS in Rs,24.13,20.76,21.05,35.69,38.98,22.55,25.27,51.59,32.09,44.85,101.28,13.91
Dividend Payout %,33%,34%,50%,36%,38%,67%,67%,47%,81%,67%,26%,115%
