Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,940","2,096","2,276","2,277","2,841","3,307","4,361","5,077","6,270","7,145","7,571","6,183"
Expenses+,"1,560","1,663","1,724","1,782","2,264","2,606","3,370","3,962","4,748","5,107","5,182","4,247"
Operating Profit,379,433,552,495,576,701,991,"1,114","1,522","2,038","2,389","1,936"
OPM %,20%,21%,24%,22%,20%,21%,23%,22%,24%,29%,32%,31%
Other Income+,34,33,36,60,59,47,117,100,159,223,297,175
Interest,12,12,9,8,8,20,34,15,38,20,28,7
Depreciation,49,54,73,83,93,133,172,198,222,246,263,305
Profit before tax,353,401,506,464,535,594,902,"1,000","1,422","1,995","2,396","1,799"
Tax %,31%,23%,10%,21%,24%,26%,21%,18%,15%,13%,22%,20%
Net Profit+,243,310,457,367,408,442,710,820,"1,211","1,731","1,866","1,435"
EPS in Rs,17.81,22.58,33.24,26.58,29.54,32.03,46.83,54.03,79.85,114.07,123.02,94.57
Dividend Payout %,14%,14%,12%,15%,14%,12%,11%,11%,13%,13%,13%,16%
