Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"46,087","36,707","52,290","66,464","77,187","64,262","70,727","118,820","131,687","135,180","127,702","132,847"
Expenses+,"37,216","30,338","40,612","52,569","58,668","51,716","51,438","86,891","116,255","113,119","109,183","112,656"
Operating Profit,"8,872","6,369","11,678","13,895","18,519","12,546","19,289","31,929","15,432","22,061","18,519","20,191"
OPM %,19%,17%,22%,21%,24%,20%,27%,27%,12%,16%,14%,15%
Other Income+,70,"-5,542",121,-175,398,-710,253,"1,146","1,511","1,584",423,"1,253"
Interest,"2,909","3,219","3,643","3,591","3,789","4,022","3,565","3,849","5,023","6,108","6,486","6,517"
Depreciation,"2,784","2,847","3,025","3,054","3,421","3,522","3,781","4,511","4,952","5,435","5,913","6,120"
Profit before tax,"3,249","-5,239","5,131","7,075","11,707","4,292","12,196","24,715","6,968","12,102","6,543","8,807"
Tax %,33%,-33%,30%,35%,31%,-23%,31%,32%,29%,34%,11%,26%
Net Profit+,"2,166","-3,530","3,577","4,625","8,121","5,291","8,393","16,702","4,937","8,041","5,837","6,522"
EPS in Rs,8.96,-14.60,14.80,19.13,33.60,21.89,34.72,69.10,20.42,32.88,23.87,26.67
Dividend Payout %,15%,-6%,19%,21%,15%,11%,23%,31%,21%,28%,15%,0%
