Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"12,356","6,456","8,828","11,615","12,153","11,699","15,370","25,965","17,667","21,294","23,668","31,554"
Expenses+,"4,580","3,762","5,226","5,806","5,222","5,688","6,573","13,332","11,603","13,938","15,409","22,278"
Operating Profit,"7,776","2,694","3,602","5,809","6,930","6,011","8,797","12,633","6,064","7,356","8,259","9,275"
OPM %,63%,42%,41%,50%,57%,51%,57%,49%,34%,35%,35%,29%
Other Income+,"2,154","1,681",908,664,587,416,349,716,"1,983","1,071","1,588","1,462"
Interest,0,66,21,37,40,10,17,39,75,78,178,121
Depreciation,162,217,196,256,279,294,228,287,335,337,373,461
Profit before tax,"9,768","4,092","4,293","6,179","7,199","6,123","8,902","13,023","7,637","8,012","9,297","10,155"
Tax %,34%,34%,40%,38%,36%,41%,30%,27%,28%,30%,28%,27%
Net Profit+,"6,422","2,712","2,589","3,806","4,642","3,610","6,253","9,448","5,529","5,632","6,693","7,421"
EPS in Rs,5.40,2.28,2.73,4.01,5.05,3.93,7.11,10.75,6.29,6.41,7.61,8.44
Dividend Payout %,53%,161%,63%,36%,36%,45%,36%,46%,35%,38%,43%,12%
