Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,699,"1,183",891,974,"1,029",620,850,"1,012","3,240","3,302","4,372","4,916"
Expenses+,301,623,429,450,467,282,355,521,"1,541","1,450","1,863","2,266"
Operating Profit,398,560,462,524,561,338,495,492,"1,699","1,852","2,509","2,650"
OPM %,57%,47%,52%,54%,55%,55%,58%,49%,52%,56%,57%,54%
Other Income+,62,166,58,109,129,124,51,62,"1,221",289,175,268
Interest,0,3,2,3,15,12,11,29,154,207,261,232
Depreciation,34,42,42,40,32,31,27,26,40,47,87,99
Profit before tax,427,681,476,591,645,419,509,498,"2,726","1,886","2,336","2,587"
Tax %,29%,27%,33%,29%,30%,25%,18%,23%,14%,22%,24%,24%
Net Profit+,305,498,321,417,454,315,417,382,"2,333","1,477","1,769","1,968"
EPS in Rs,9.29,14.66,9.44,12.28,12.48,8.66,11.46,10.50,64.15,40.63,48.64,54.14
Dividend Payout %,22%,14%,21%,16%,16%,0%,0%,29%,6%,20%,16%,15%
