Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,541","4,260","4,675","5,215"
Expenses+,"2,265","2,794","3,124","3,549"
Operating Profit,"1,276","1,466","1,551","1,666"
OPM %,36%,34%,33%,32%
Other Income+,148,106,276,277
Interest,16,19,17,18
Depreciation,54,57,53,50
Profit before tax,"1,354","1,496","1,757","1,875"
Tax %,26%,26%,25%,26%
Net Profit+,"1,006","1,111","1,315","1,393"
EPS in Rs,12.57,13.89,16.44,17.42
Dividend Payout %,44%,47%,49%,52%
