Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"1,991","2,401","3,384","3,766","3,289","3,671","2,299","1,873","2,719","4,794","3,790","2,188","2,025"
Interest,813,307,787,"1,178",990,"1,497","1,710","1,069","1,243",712,745,794,804
Expenses+,"1,716","1,953","2,074","1,930","2,072","1,998",910,790,401,"1,704","1,506",772,808
Financing Profit,-538,141,523,657,228,176,-321,14,"1,074","2,379","1,540",623,413
Financing Margin %,-27%,6%,15%,17%,7%,5%,-14%,1%,40%,50%,41%,28%,20%
Other Income+,244,594,540,357,637,-842,898,110,158,"11,865",-330,70,166
Depreciation,76,89,80,94,112,131,42,33,22,23,673,18,18
Profit before tax,-370,646,984,920,753,-798,535,91,"1,211","14,221",537,675,561
Tax %,0%,42%,-1%,16%,31%,9%,73%,56%,18%,-1%,12%,25%,
Net Profit+,-370,373,996,777,518,-868,145,40,998,"14,333",474,504,438
EPS in Rs,-18.14,18.27,48.81,38.08,25.39,-41.57,6.42,1.77,41.80,600.47,21.10,22.34,19.39
Dividend Payout %,-245%,93%,30%,47%,87%,-60%,218%,"1,865%",79%,5%,47%,49%,
