Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,398","4,731","4,865","5,354","6,094","6,333","6,216","8,896","10,597","11,167","12,073","13,488"
Expenses+,"3,637","3,636","3,638","4,061","4,800","4,849","4,663","7,115","8,742","8,608","9,237","10,187"
Operating Profit,761,"1,095","1,227","1,293","1,294","1,484","1,554","1,781","1,855","2,559","2,836","3,300"
OPM %,17%,23%,25%,24%,21%,23%,25%,20%,18%,23%,23%,24%
Other Income+,25,68,14,136,189,93,67,32,63,164,273,271
Interest,10,6,6,6,7,13,17,27,29,29,35,41
Depreciation,108,88,90,91,100,126,147,194,222,289,308,336
Profit before tax,669,"1,070","1,145","1,331","1,376","1,437","1,457","1,591","1,668","2,404","2,766","3,194"
Tax %,25%,30%,32%,28%,29%,23%,26%,25%,25%,25%,25%,25%
Net Profit+,502,747,774,955,979,"1,102","1,081","1,191","1,257","1,799","2,074","2,384"
EPS in Rs,4.89,7.28,7.55,9.41,9.64,10.84,10.64,11.72,12.37,17.69,20.39,23.43
Dividend Payout %,30%,28%,31%,32%,34%,32%,40%,43%,44%,45%,49%,92%
