Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"30,717","25,467","28,435","28,813","30,423","21,459","17,308","21,211","23,365","23,893","28,339","33,782"
Expenses+,"28,618","26,834","27,312","26,806","28,268","21,588","20,351","20,381","22,321","23,182","26,940","31,440"
Operating Profit,"2,099","-1,367","1,123","2,007","2,155",-129,"-3,043",830,"1,044",711,"1,399","2,342"
OPM %,7%,-5%,4%,7%,7%,-1%,-18%,4%,4%,3%,5%,7%
Other Income+,"1,210","1,498",766,694,744,581,370,368,515,586,503,846
Interest,92,359,412,330,377,611,466,447,612,828,906,756
Depreciation,"1,077",936,849,786,475,503,473,314,260,249,272,316
Profit before tax,"2,140","-1,164",628,"1,585","2,048",-662,"-3,612",437,686,220,725,"2,116"
Tax %,34%,-39%,21%,49%,41%,122%,-25%,6%,9%,-18%,29%,25%
Net Profit+,"1,419",-710,496,807,"1,209","-1,473","-2,717",410,624,260,513,"1,578"
EPS in Rs,3.87,-1.93,1.35,2.20,3.47,-4.23,-7.80,1.18,1.79,0.75,1.47,4.53
Dividend Payout %,20%,-14%,78%,83%,58%,0%,0%,34%,22%,34%,34%,31%
