Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,246","1,262","1,320",809,"1,002","1,462","1,641","2,049","2,417","2,645","2,658","2,822"
Expenses+,"1,006",971,"1,058",678,837,"1,193","1,285","1,647","2,098","2,263","2,325","2,390"
Operating Profit,240,291,262,131,165,270,356,402,320,381,333,432
OPM %,19%,23%,20%,16%,16%,18%,22%,20%,13%,14%,13%,15%
Other Income+,23,28,16,116,87,35,12,74,33,98,137,44
Interest,22,11,9,4,5,12,10,11,10,7,9,9
Depreciation,69,58,71,35,39,69,70,69,76,76,73,66
Profit before tax,171,249,198,209,207,223,287,397,267,396,388,401
Tax %,11%,19%,15%,15%,19%,37%,33%,25%,25%,25%,23%,25%
Net Profit+,152,203,169,178,168,141,194,296,200,299,299,302
EPS in Rs,7.73,10.29,8.57,8.99,6.12,5.09,6.98,10.59,7.29,10.83,10.74,10.79
Dividend Payout %,14%,20%,24%,26%,33%,39%,50%,42%,48%,60%,60%,60%
